"table_name","column_name","data_type","is_nullable","column_default"
AIModels,Id,uuid,NO,
AIModels,Name,character varying,NO,
AIModels,Version,character varying,NO,
AIModels,ModelData,bytea,NO,
AIModels,TrainingStats,jsonb,YES,
AIModels,IsActive,boolean,YES,false
AIModels,CreatedAt,timestamp without time zone,YES,CURRENT_TIMESTAMP
AIModels,UpdatedAt,timestamp without time zone,YES,CURRENT_TIMESTAMP
AIPredictions,Id,uuid,NO,
AIPredictions,Token,character varying,NO,
AIPredictions,ModelId,uuid,YES,
AIPredictions,GapId,uuid,YES,
AIPredictions,SugerenciaEmpleadoId,uuid,YES,
AIPredictions,SugerenciaTurno,jsonb,YES,
AIPredictions,ScoreConfianza,numeric,YES,
AIPredictions,Justificacion,text,YES,
AIPredictions,Aplicada,boolean,YES,false
AIPredictions,CreatedAt,timestamp without time zone,YES,CURRENT_TIMESTAMP
AITrainingHistory,Id,uuid,NO,gen_random_uuid()
AITrainingHistory,ModelId,uuid,YES,
AITrainingHistory,TrainingDate,timestamp without time zone,YES,CURRENT_TIMESTAMP
AITrainingHistory,DataStartDate,date,YES,
AITrainingHistory,DataEndDate,date,YES,
AITrainingHistory,RecordsProcessed,integer,YES,
AITrainingHistory,WeeksProcessed,integer,YES,
AITrainingHistory,PatternsTurnos,integer,YES,
AITrainingHistory,PatternsEmpWs,integer,YES,
AITrainingHistory,CoverageImprovement,numeric,YES,
AITrainingHistory,Notes,text,YES,
AbsenteeismTypes,Id,uuid,NO,gen_random_uuid()
AbsenteeismTypes,Name,text,NO,
AbsenteeismTypes,IsDeleted,boolean,NO,
AbsenteeismTypes,DateCreated,timestamp with time zone,NO,CURRENT_TIMESTAMP
AspNetRoleClaims,Id,integer,NO,
AspNetRoleClaims,RoleId,uuid,NO,
AspNetRoleClaims,ClaimType,text,YES,
AspNetRoleClaims,ClaimValue,text,YES,
AspNetRoles,Id,uuid,NO,gen_random_uuid()
AspNetRoles,IsActive,boolean,NO,
AspNetRoles,Name,character varying,YES,
AspNetRoles,NormalizedName,character varying,YES,
AspNetRoles,ConcurrencyStamp,text,YES,
AspNetUserClaims,Id,integer,NO,
AspNetUserClaims,UserId,uuid,NO,
AspNetUserClaims,ClaimType,text,YES,
AspNetUserClaims,ClaimValue,text,YES,
AspNetUserLogins,LoginProvider,text,NO,
AspNetUserLogins,ProviderKey,text,NO,
AspNetUserLogins,ProviderDisplayName,text,YES,
AspNetUserLogins,UserId,uuid,NO,
AspNetUserRoles,UserId,uuid,NO,
AspNetUserRoles,RoleId,uuid,NO,
AspNetUserTokens,UserId,uuid,NO,
AspNetUserTokens,LoginProvider,text,NO,
AspNetUserTokens,Name,text,NO,
AspNetUserTokens,Value,text,YES,
